,Gender,Age,Education,Party,Race,Region,Marital,RACESURV10,RACESURV11,RACESURV6,RACESURV7,RACESURV20,RACESURV22
821,1,2,2,2,3,4,1,2,2,2,2,3,4
822,1,4,1,2,2,3,1,2,2,2,2,1,4
824,1,1,3,2,3,4,6,2,2,2,1,1,4
829,2,1,2,4,3,4,2,2,2,2,3,2,4
830,2,2,3,99,3,3,1,2,3,2,2,2,2
831,2,3,3,1,3,3,3,1,2,1,3,3,3
834,2,2,3,4,3,3,1,2,2,2,3,2,4
835,1,3,2,2,2,3,1,1,2,2,2,1,1
836,2,2,3,1,3,3,3,2,1,2,99,3,3
839,1,2,2,3,3,4,1,1,2,1,2,1,4
840,2,4,2,2,2,3,1,2,2,2,2,3,4
841,2,2,3,1,3,3,1,1,1,2,4,3,4
842,2,1,2,4,3,4,1,99,2,2,2,2,2
848,1,2,1,2,3,1,1,2,1,2,2,2,2
849,1,4,2,2,2,3,1,2,2,2,2,2,2
850,2,3,3,1,3,2,1,1,1,2,2,3,4
852,2,2,3,2,2,3,6,1,3,2,3,2,4
853,1,3,2,2,3,4,1,2,2,2,2,2,4
856,1,3,3,2,2,4,5,2,2,2,2,2,4
857,2,4,3,1,3,3,5,2,2,2,2,2,4
861,1,1,3,3,3,3,6,2,2,2,3,3,4
863,1,2,3,2,3,2,1,2,2,2,2,2,4
865,1,2,3,2,3,1,1,1,3,2,3,2,4
866,1,2,3,3,2,2,2,2,2,2,1,1,1
868,2,4,1,2,2,3,5,2,1,2,1,2,2
870,2,2,3,4,3,4,1,99,3,1,3,2,4
871,2,2,3,4,3,3,1,99,1,2,3,3,2
875,2,2,3,2,2,3,6,2,2,2,3,2,4
876,2,3,3,1,2,3,3,1,3,2,2,2,4
877,1,3,2,2,3,3,1,1,2,2,3,2,1
879,2,3,3,1,3,4,1,2,2,2,2,2,4
883,2,4,3,99,3,3,5,99,3,1,4,3,4
885,2,2,3,2,3,4,1,99,2,1,4,99,4
886,2,2,1,3,3,1,1,2,3,2,2,2,2
887,2,4,2,2,3,1,5,1,1,1,3,2,2
892,1,2,3,4,3,3,1,1,3,2,2,1,4
897,2,3,3,4,3,4,1,1,2,2,2,2,3
902,1,3,1,2,3,1,3,2,2,2,2,2,3
903,1,3,3,2,3,4,1,2,3,2,1,3,1
904,2,3,3,2,3,3,1,2,2,2,4,3,3
905,1,3,2,1,3,2,1,1,3,1,2,3,2
907,2,3,2,1,3,3,6,2,2,1,3,3,4
912,1,1,1,4,3,2,2,2,2,1,4,3,4
913,1,2,2,2,3,4,4,2,2,2,3,2,4
914,1,1,3,2,3,3,6,2,2,2,4,3,4
916,2,3,2,2,3,1,5,2,2,2,4,3,4
919,1,4,2,2,3,3,1,2,2,2,2,2,4
920,2,3,2,99,3,4,5,1,2,2,4,3,4
921,2,3,1,2,3,3,6,1,3,1,3,2,4
923,1,4,3,1,3,3,1,1,3,1,3,3,4
926,1,3,1,2,2,3,1,2,2,2,1,1,4
927,2,3,2,2,2,2,3,2,2,2,2,3,3
928,1,4,2,3,3,3,1,2,3,2,2,2,4
930,1,4,2,3,3,4,1,2,2,99,2,2,4
932,2,2,1,2,3,3,4,2,2,2,2,2,4
933,2,3,3,2,2,3,1,1,3,1,2,2,2
934,2,4,2,2,2,4,1,2,2,2,3,2,4
935,2,1,2,2,3,4,6,2,2,2,2,2,4
937,2,3,2,2,2,3,1,2,1,2,2,2,2
939,1,2,3,2,3,4,1,2,2,2,3,2,4
941,2,2,3,2,2,3,1,2,2,2,3,2,4
944,2,3,2,2,2,3,1,1,3,2,2,2,2
946,2,3,1,1,3,3,1,1,2,2,2,2,3
947,1,1,2,2,3,3,6,1,2,2,1,2,4
949,2,1,2,2,2,2,6,2,2,2,2,1,1
951,1,2,3,2,2,3,2,1,3,2,3,2,4
952,1,4,3,1,3,2,1,1,2,2,3,3,3
953,1,3,1,4,2,4,1,2,2,2,3,2,4
954,2,2,1,2,3,3,1,2,2,2,2,3,4
956,2,2,1,2,2,3,6,2,1,2,1,2,2
958,2,3,1,2,2,3,6,2,2,2,2,2,2
959,1,2,1,1,2,3,1,2,2,2,2,2,2
962,1,3,2,2,3,3,1,2,99,2,1,2,2
966,2,2,3,3,3,3,1,2,3,2,3,2,3
